0,1,-6
0,2,-5
1,0,-6
1,3,-11
2,0,-5
2,4,-12
3,1,-11
3,5,-17
4,2,-12
4,6,-20
5,3,-17
5,14,-26
6,4,-20
6,20,-25
7,8,-20
7,10,-22
8,7,-20
8,9,-23
9,8,-23
9,11,-26
10,7,-22
10,17,-28
11,9,-26
11,18,-39
12,13,-19
12,14,-25
13,12,-19
13,15,-17
14,5,-26
14,12,-25
14,34,-37
15,13,-17
15,16,-12
16,15,-12
16,17,-22
17,10,-28
17,16,-22
17,35,-32
18,11,-39
18,19,-38
18,49,-61
19,18,-38
19,21,-20
20,6,-25
20,22,-21
20,33,-34
21,19,-20
21,23,-10
22,20,-21
23,21,-10
23,24,-5
24,23,-5
24,25,-24
25,24,-24
25,26,-39
25,65,-42
26,25,-39
26,27,-34
27,26,-34
27,28,-32
28,27,-32
28,29,-32
29,28,-32
29,30,-29
30,29,-29
30,31,-26
31,30,-26
31,32,-30
32,31,-30
32,40,-50
33,20,-34
33,34,-39
33,57,-31
34,14,-37
34,33,-39
34,46,-35
35,17,-32
35,44,-29
35,48,-39
36,42,-44
36,43,-46
37,38,-44
37,41,-46
38,37,-44
38,39,-41
39,38,-41
39,42,-39
40,32,-50
40,41,-56
40,61,-59
41,37,-46
41,40,-56
42,36,-44
42,39,-39
43,36,-46
43,50,-38
44,35,-29
44,45,-25
44,52,-15
45,44,-25
45,47,-20
46,34,-35
46,47,-23
46,66,-30
47,45,-20
47,46,-23
47,59,-14
48,35,-39
48,49,-58
48,69,-41
49,18,-61
49,48,-58
49,64,-58
50,43,-38
50,51,-32
51,50,-32
51,54,-30
52,44,-15
52,53,-9
53,52,-9
53,68,-18
54,51,-30
54,55,-30
55,54,-30
55,63,-30
56,57,-12
56,58,-5
57,33,-31
57,56,-12
57,71,-29
58,56,-5
58,73,-18
59,47,-14
59,62,-12
60,78,-6
61,40,-59
61,76,-50
62,59,-12
62,67,-8
63,55,-30
63,83,-30
64,49,-58
64,65,-44
64,98,-58
65,25,-42
65,64,-44
65,86,-42
66,46,-30
66,70,-26
66,71,-32
67,62,-8
67,70,-13
68,53,-18
68,69,-29
68,74,-20
69,48,-41
69,68,-29
69,97,-40
70,66,-26
70,67,-13
70,81,-22
71,57,-29
71,66,-32
71,96,-34
72,73,-21
72,78,-11
73,58,-18
73,72,-21
73,99,-26
74,68,-20
74,75,-15
75,74,-15
75,77,-15
76,61,-50
76,87,-46
77,75,-15
77,79,-33
78,60,-6
78,72,-11
79,77,-33
79,113,-53
80,93,-15
81,70,-22
81,82,-21
82,81,-21
82,91,-20
83,63,-30
83,84,-28
84,83,-28
84,103,-26
85,89,-7
85,100,-11
86,65,-42
86,87,-43
86,142,-43
87,76,-46
