1.0101000000e+04,8.8073332500e+05,3.8533430000e+03,2.0219000000e+01,8.1820000000e+00,-7.0692704000e+01,-3.3369861000e+01
1.0102000000e+04,7.3271003700e+05,4.9466640000e+03,1.6821000000e+01,6.8070000000e+00,-7.0683540000e+01,-3.3369715000e+01
1.0106000000e+04,5.2168934200e+05,4.0154370000e+03,1.1976000000e+01,4.8470000000e+00,-7.0666135000e+01,-3.3375933000e+01
1.0108000000e+04,4.3290776500e+05,2.9160830000e+03,9.9380000000e+00,4.0220000000e+00,-7.0689708000e+01,-3.3383060000e+01
1.0109000000e+04,4.6597205900e+05,2.9197930000e+03,1.0697000000e+01,4.3290000000e+00,-7.0684084000e+01,-3.3382066000e+01
1.0110000000e+04,6.4360537200e+05,3.6670120000e+03,1.4775000000e+01,5.9790000000e+00,-7.0677778000e+01,-3.3381801000e+01
1.0112000000e+04,6.7489680400e+05,3.3545780000e+03,1.5493000000e+01,6.2700000000e+00,-7.0662127000e+01,-3.3382995000e+01
1.0114000000e+04,5.8124860600e+05,3.1828560000e+03,1.3344000000e+01,5.4000000000e+00,-7.0680416000e+01,-3.3390043000e+01
1.0115000000e+04,7.9047655100e+05,4.8557790000e+03,1.8147000000e+01,7.3440000000e+00,-7.0673125000e+01,-3.3392249000e+01
1.0201000000e+04,4.6724472400e+05,3.1567900000e+03,1.0726000000e+01,4.3410000000e+00,-7.0674986000e+01,-3.3403103000e+01
1.0203000000e+04,4.6664554000e+05,2.9978940000e+03,1.0713000000e+01,4.3350000000e+00,-7.0662019000e+01,-3.3402350000e+01
1.0205000000e+04,9.1148993300e+05,4.2231770000e+03,2.0925000000e+01,8.4680000000e+00,-7.0670619000e+01,-3.3409520000e+01
1.0206000000e+04,2.7800567300e+05,2.1858850000e+03,6.3820000000e+00,2.5830000000e+00,-7.0663024000e+01,-3.3408521000e+01
1.0210000000e+04,7.5247653200e+05,3.6683510000e+03,1.7274000000e+01,6.9910000000e+00,-7.0660244000e+01,-3.3415864000e+01
1.0213000000e+04,3.6133445000e+05,2.4159030000e+03,8.2950000000e+00,3.3570000000e+00,-7.0658134000e+01,-3.3423413000e+01
1.0301000000e+04,7.2596204610e+06,1.3060228000e+04,1.6665800000e+02,6.7444000000e+01,-7.0671876000e+01,-3.3347488000e+01
