0,1,-51
0,3,-80
1,0,-51
1,5,-33
2,3,-79
2,4,-78
3,0,-80
3,2,-79
3,11,-41
4,2,-78
4,8,-77
5,1,-33
5,6,-44
5,14,-28
6,5,-44
6,20,-27
7,8,-69
7,10,-61
8,4,-77
8,7,-69
8,9,-51
9,8,-51
9,12,-18
9,15,-26
10,7,-61
10,23,-54
11,3,-41
11,12,-6
11,13,-4
12,9,-18
12,11,-6
13,11,-4
13,14,-9
14,5,-28
14,13,-9
14,28,-12
15,9,-26
15,19,-13
16,17,-2
17,16,-2
17,18,-1
18,17,-1
18,27,-9
19,15,-13
19,22,-4
19,24,-5
20,6,-27
20,21,-9
20,29,-8
21,20,-9
21,25,-10
22,19,-4
22,23,-28
22,37,-15
23,10,-54
23,22,-28
23,26,-31
24,19,-5
24,36,-20
25,21,-10
25,46,-27
26,23,-31
26,32,-14
27,18,-9
27,30,-31
28,14,-12
28,29,-9
29,20,-8
29,28,-9
29,44,-6
30,27,-31
30,31,-50
31,30,-50
31,38,-56
32,26,-14
32,40,-16
33,34,-21
33,39,-43
34,33,-21
34,35,-18
35,34,-18
35,47,-22
36,24,-20
36,37,-26
36,41,-30
37,22,-15
37,36,-26
37,42,-26
38,31,-56
38,39,-56
39,33,-43
39,38,-56
39,56,-41
40,32,-16
40,43,-18
41,36,-30
41,53,-25
42,37,-26
42,43,-24
42,54,-31
43,40,-18
43,42,-24
43,50,-17
44,29,-6
44,45,-12
45,44,-12
45,46,-30
45,62,-15
46,25,-27
46,45,-30
46,49,-46
47,35,-22
47,48,-22
47,57,-16
48,47,-22
48,51,-27
49,46,-46
49,63,-50
50,43,-17
50,59,-21
51,48,-27
51,52,-24
52,51,-24
52,55,-9
53,41,-25
53,54,-26
53,58,-20
54,42,-31
54,53,-26
54,60,-34
55,52,-9
55,69,-18
56,39,-41
56,57,-19
57,47,-16
57,56,-19
57,66,-12
58,53,-20
58,72,-18
59,50,-21
59,61,-40
60,54,-34
60,61,-45
60,73,-43
61,59,-40
61,60,-45
61,80,-57
62,45,-15
62,65,-57
63,49,-50
63,64,-33
63,65,-76
64,63,-33
64,70,-16
65,62,-57
65,63,-76
65,84,-99
66,57,-12
66,67,-6
67,66,-6
67,68,0
67,83,-6
68,67,0
68,69,-18
68,86,-9
69,55,-18
69,68,-18
69,71,-36
70,64,-16
70,75,-16
71,69,-36
71,74,-31
72,58,-18
72,73,-33
72,77,-15
73,60,-43
73,72,-33
73,82,-51
74,71,-31
74,88,-25
75,70,-16
75,78,-23
76,77,-8
76,79,-28
77,72,-15
77,76,-8
77,90,-40
78,75,-23
78,85,-51
79,76,-28
79,94,-54
80,61,-57
80,81,-31
80,82,-56
81,80,-31
81,92,-4
82,73,-51
82,80,-56
82,91,-63
83,67,-6
83,86,-15
84,65,-99
84,85,-84
85,78,-51
85,84,-84
85,97,-62
86,68,-9
86,83,-15
86,87,-18
87,86,-18
87,88,-21
87,101,-18
88,74,-25
88,87,-21
88,89,-24
89,88,-24
89,93,-22
90,77,-40
90,91,-70
90,95,-59
91,82,-63
91,90,-70
91,103,-62
92,81,-4
92,104,-6
93,89,-22
93,105,-26
94,79,-54
94,95,-53
94,96,-37
95,90,-59
95,94,-53
95,114,-36
96,94,-37
96,113,-42
97,85,-62
97,98,-40
98,97,-40
98,99,-19
99,98,-19
99,102,-21
100,102,-18
100,108,-2
101,87,-18
101,107,-15
102,99,-21
102,100,-18
102,119,-30
103,91,-62
103,104,-28
103,118,-50
104,92,-6
104,103,-28
104,109,-11
105,93,-26
105,106,-48
105,111,-43
106,105,-48
106,116,-61
107,101,-15
107,110,-34
108,100,-2
108,121,-6
109,104,-11
109,123,-22
110,107,-34
110,111,-55
110,122,-60
111,105,-43
111,110,-55
111,125,-61
112,113,-64
112,129,-65
113,96,-42
113,112,-64
113,115,-70
114,95,-36
114,115,-48
114,117,-37
115,113,-70
115,114,-48
115,140,-76
116,106,-61
116,126,-69
117,114,-37
117,118,-52
117,151,-50
118,103,-50
118,117,-52
118,137,-40
119,102,-30
119,120,-20
120,119,-20
120,121,-12
120,131,-9
121,108,-6
121,120,-12
121,127,-10
122,110,-60
122,130,-60
123,109,-22
123,124,-20
123,138,-28
124,123,-20
124,132,-8
125,111,-61
125,126,-74
125,134,-46
126,116,-69
126,125,-74
126,135,-54
127,121,-10
127,136,-11
128,129,-64
128,149,-58
129,112,-65
129,128,-64
129,139,-59
130,122,-60
130,133,-62
131,120,-9
131,141,-8
132,124,-8
132,166,-3
133,130,-62
133,134,-46
133,145,-60
134,125,-46
134,133,-46
134,160,-21
135,126,-54
135,163,-43
136,127,-11
136,142,-13
136,143,-14
137,118,-40
137,138,-29
137,155,-27
138,123,-28
138,137,-29
138,165,-16
139,129,-59
139,140,-64
139,168,-45
140,115,-76
140,139,-64
140,150,-52
141,131,-8
141,142,-11
142,136,-13
142,141,-11
142,146,-8
143,136,-14
144,153,0
145,133,-60
145,156,-60
146,142,-8
146,147,-4
147,146,-4
147,152,-6
148,149,-50
148,158,-31
149,128,-58
149,148,-50
149,167,-35
150,140,-52
150,151,-37
150,178,-38
151,117,-50
151,150,-37
151,155,-35
152,147,-6
152,154,-8
153,144,0
153,154,-4
154,152,-8
154,153,-4
155,137,-27
155,151,-35
155,182,-26
156,145,-60
156,159,-73
156,161,-43
157,158,-12
157,162,-36
158,148,-31
158,157,-12
158,170,-15
159,156,-73
159,162,-71
160,134,-21
160,161,-18
160,164,-21
161,156,-43
161,160,-18
161,172,-21
162,157,-36
162,159,-71
162,173,-44
163,135,-43
163,164,-41
163,169,-61
164,160,-21
164,163,-41
164,180,-22
165,138,-16
165,166,-3
165,184,-17
166,132,-3
166,165,-3
166,171,-8
167,149,-35
167,168,-27
167,175,-16
168,139,-45
168,167,-27
168,177,-54
169,163,-61
169,176,-61
170,158,-15
170,174,-14
170,175,-15
171,166,-8
171,190,-26
172,161,-21
172,173,-24
172,181,-18
173,162,-44
173,172,-24
173,174,-19
174,170,-14
174,173,-19
174,187,-29
175,167,-16
175,170,-15
175,188,-30
176,169,-61
176,179,-41
177,168,-54
177,178,-59
177,195,-63
178,150,-38
178,177,-59
178,186,-39
179,176,-41
179,185,-39
180,164,-22
180,181,-16
180,185,-37
181,172,-18
181,180,-16
181,189,-19
182,155,-26
182,183,-30
182,186,-29
183,182,-30
183,184,-31
183,208,-45
184,165,-17
184,183,-31
184,191,-31
185,179,-39
185,180,-37
185,193,-51
186,178,-39
186,182,-29
186,205,-53
187,174,-29
187,188,-44
187,189,-35
188,175,-30
188,187,-44
188,194,-62
189,181,-19
189,187,-35
189,201,-57
190,171,-26
190,191,-35
190,192,-31
191,184,-31
191,190,-35
191,209,-34
192,190,-31
192,196,-12
193,185,-51
193,197,-58
194,188,-62
194,195,-68
194,198,-79
195,177,-63
195,194,-68
195,203,-60
196,192,-12
196,206,-5
197,193,-58
197,199,-70
198,194,-79
198,202,-81
198,214,-60
199,197,-70
199,200,-77
200,199,-77
200,201,-85
200,213,-46
201,189,-57
201,200,-85
201,202,-86
202,198,-81
202,201,-86
202,217,-74
203,195,-60
203,204,-70
203,215,-73
204,203,-70
204,205,-76
204,223,-65
205,186,-53
205,204,-76
205,207,-57
206,196,-5
206,210,-13
206,212,-10
207,205,-57
207,208,-48
207,230,-62
208,183,-45
208,207,-48
208,211,-47
209,191,-34
209,210,-26
209,211,-36
210,206,-13
210,209,-26
210,224,-41
211,208,-47
211,209,-36
211,228,-46
212,206,-10
212,219,-15
213,200,-46
213,216,-16
214,198,-60
214,215,-62
214,217,-53
215,203,-73
215,214,-62
215,222,-68
216,213,-16
216,218,-36
217,202,-74
217,214,-53
217,227,-71
218,216,-36
218,226,-53
219,212,-15
219,220,-13
219,225,-60
220,219,-13
220,221,-6
221,220,-6
221,231,-33
222,215,-68
222,223,-54
222,240,-45
223,204,-65
223,222,-54
223,229,-82
224,210,-41
224,225,-83
224,235,-97
225,219,-60
225,224,-83
225,237,-124
226,218,-53
226,227,-67
227,217,-71
227,226,-67
227,236,-50
228,211,-46
228,233,-63
228,234,-92
229,223,-82
229,230,-98
229,247,-99
230,207,-62
230,229,-98
230,233,-78
231,221,-33
231,232,-53
231,238,-104
232,231,-53
232,243,-72
233,228,-63
233,230,-78
233,248,-64
234,228,-92
234,235,-128
234,249,-98
235,224,-97
235,234,-128
235,241,-100
236,227,-50
236,239,-34
237,225,-124
237,238,-148
237,242,-110
238,231,-104
238,237,-148
238,245,-103
239,236,-34
239,240,-41
239,251,-41
240,222,-45
240,239,-41
240,246,-48
241,235,-100
241,242,-72
241,255,-94
242,237,-110
242,241,-72
242,252,-62
243,232,-72
243,244,-100
