0,1,-10
1,0,-10
1,2,-10
2,1,-10
2,3,-19
3,2,-19
3,4,-28
4,3,-28
4,5,-47
5,4,-47
5,7,-69
6,9,-6
7,5,-69
7,8,-69
7,11,-55
8,7,-69
8,13,-77
9,6,-6
9,10,-24
10,9,-24
10,12,-42
11,7,-55
11,14,-38
12,10,-42
12,15,-51
13,8,-77
13,14,-63
13,16,-88
14,11,-38
14,13,-63
14,17,-28
15,12,-51
15,18,-63
16,13,-88
16,24,-88
17,14,-28
17,21,-21
18,15,-63
18,19,-96
19,18,-96
19,20,-96
19,23,-132
20,19,-96
20,29,-40
21,17,-21
21,22,-15
21,25,-24
22,21,-15
22,28,-9
23,19,-132
23,26,-134
24,16,-88
24,25,-56
24,27,-89
25,21,-24
25,24,-56
25,32,-24
26,23,-134
26,31,-132
27,24,-89
27,34,-90
28,22,-9
28,36,-12
29,20,-40
29,30,-45
30,29,-45
30,31,-105
30,38,-104
31,26,-132
31,30,-105
31,33,-123
32,25,-24
32,35,-18
32,45,-24
33,31,-123
33,42,-112
34,27,-90
34,37,-82
34,44,-67
35,32,-18
35,36,-12
35,46,-12
36,28,-12
36,35,-12
36,41,-12
37,34,-82
37,56,-87
38,30,-104
38,40,-133
38,43,-140
39,40,-75
39,51,-16
40,38,-133
40,39,-75
40,55,-135
41,36,-12
41,47,-21
42,33,-112
42,43,-130
43,38,-140
43,42,-130
43,54,-121
44,34,-67
44,45,-34
44,57,-44
45,32,-24
45,44,-34
45,46,-18
46,35,-12
46,45,-18
46,75,-18
47,41,-21
47,48,-24
47,77,-30
48,47,-24
48,52,-27
49,50,-31
49,52,-38
50,49,-31
50,53,-18
51,39,-16
51,59,-29
52,48,-27
52,49,-38
52,94,-63
53,50,-18
53,62,-39
54,43,-121
54,67,-94
55,40,-135
55,58,-122
55,60,-136
56,37,-87
56,57,-72
56,65,-100
57,44,-44
57,56,-72
57,82,-33
58,55,-122
58,66,-101
58,74,-107
59,51,-29
59,60,-89
59,78,-42
60,55,-136
60,59,-89
60,72,-132
61,79,-14
62,53,-39
62,63,-64
62,81,-84
63,62,-64
63,70,-100
64,69,-119
64,70,-136
65,56,-100
65,68,-81
65,83,-77
66,58,-101
66,67,-94
67,54,-94
67,66,-94
68,65,-81
68,96,-62
69,64,-119
69,71,-104
70,63,-100
70,64,-136
70,86,-147
71,69,-104
71,72,-117
71,73,-106
72,60,-132
72,71,-117
72,87,-128
73,71,-106
73,74,-106
74,58,-107
74,73,-106
75,46,-18
75,76,-27
75,85,-24
76,75,-27
76,77,-30
76,112,-24
77,47,-30
77,76,-30
77,92,-26
78,59,-42
78,89,-63
79,61,-14
79,80,-14
80,79,-14
80,101,-36
81,62,-84
81,90,-131
81,95,-104
82,57,-33
82,84,-18
82,91,-22
83,65,-77
83,88,-33
83,93,-54
84,82,-18
84,85,-19
85,75,-24
85,84,-19
85,105,-21
86,70,-147
86,87,-143
86,90,-158
87,72,-128
87,86,-143
87,89,-106
88,83,-33
88,91,-17
89,78,-63
89,87,-106
89,99,-84
90,81,-131
90,86,-158
90,110,-138
91,82,-22
91,88,-17
92,77,-26
92,98,-56
92,119,-38
93,83,-54
93,97,-71
94,52,-63
94,95,-97
94,98,-90
95,81,-104
95,94,-97
95,109,-115
96,68,-62
96,97,-75
96,104,-44
97,93,-71
97,96,-75
97,102,-88
98,92,-56
98,94,-90
98,122,-79
99,89,-84
99,117,-81
100,101,-69
100,107,-109
101,80,-36
101,100,-69
102,97,-88
102,103,-87
103,102,-87
103,114,-92
104,96,-44
104,113,-26
105,85,-21
105,111,-18
106,107,-127
106,108,-134
107,100,-109
107,106,-127
107,130,-116
108,106,-134
108,121,-150
109,95,-115
109,110,-122
109,129,-126
110,90,-138
110,109,-122
110,116,-118
111,105,-18
111,112,-18
111,136,-14
112,76,-24
112,111,-18
112,118,-36
113,104,-26
113,114,-62
113,135,-22
114,103,-92
114,113,-62
114,115,-98
115,114,-98
115,123,-98
116,110,-118
116,117,-98
116,140,-118
117,99,-81
117,116,-98
118,112,-36
118,119,-54
118,143,-54
119,92,-38
119,118,-54
119,122,-61
120,121,-150
120,124,-178
121,108,-150
121,120,-150
121,134,-139
122,98,-79
122,119,-61
122,131,-69
123,115,-98
123,138,-98
124,120,-178
124,127,-205
125,126,-88
125,128,-92
126,125,-88
126,127,-147
127,124,-205
127,126,-147
127,149,-197
128,125,-92
128,133,-110
129,109,-126
129,132,-118
129,139,-127
130,107,-116
130,134,-112
131,122,-69
131,132,-90
131,148,-70
132,129,-118
132,131,-90
132,156,-94
133,128,-110
133,146,-124
134,121,-139
134,130,-112
134,145,-133
135,113,-22
135,141,-18
136,111,-14
136,142,-23
137,138,-98
137,144,-95
138,123,-98
138,137,-98
138,141,-58
139,129,-127
139,140,-123
139,152,-128
140,116,-118
140,139,-123
141,135,-18
141,138,-58
141,159,-18
142,136,-23
142,143,-45
142,155,-36
143,118,-54
143,142,-45
143,147,-63
144,137,-95
144,151,-92
145,134,-133
145,150,-134
145,160,-71
146,133,-124
146,153,-161
147,143,-63
147,148,-71
147,167,-72
148,131,-70
148,147,-71
148,158,-82
149,127,-197
149,150,-160
149,154,-187
150,145,-134
150,149,-160
150,163,-123
151,144,-92
151,161,-93
152,139,-128
152,157,-129
153,146,-161
153,154,-192
153,165,-198
154,149,-187
154,153,-192
154,170,-149
155,142,-36
155,164,-30
156,132,-94
156,157,-104
156,158,-86
157,152,-129
157,156,-104
157,168,-129
158,148,-82
158,156,-86
158,172,-94
159,141,-18
159,162,-18
160,145,-71
160,163,-60
161,151,-93
161,162,-56
161,169,-96
162,159,-18
162,161,-56
162,177,-17
163,150,-123
163,160,-60
163,174,-114
164,155,-30
164,166,-43
165,153,-198
165,179,-196
166,164,-43
166,167,-67
166,178,-62
167,147,-72
167,166,-67
167,171,-90
168,157,-129
168,176,-128
169,161,-96
169,183,-98
170,154,-149
170,173,-122
170,182,-103
171,167,-90
171,172,-101
171,191,-113
172,158,-94
172,171,-101
172,175,-119
173,170,-122
173,174,-123
173,185,-145
174,163,-114
174,173,-123
175,172,-119
175,176,-136
175,187,-145
176,168,-128
176,175,-136
177,162,-17
177,184,-21
178,166,-62
178,188,-55
179,165,-196
179,180,-144
179,181,-182
180,179,-144
180,189,-99
181,179,-182
181,182,-132
181,199,-170
182,170,-103
182,181,-132
182,185,-126
183,169,-98
183,184,-62
183,186,-91
184,177,-21
184,183,-62
184,196,-26
185,173,-145
185,182,-126
185,197,-158
186,183,-91
186,192,-88
187,175,-145
187,194,-146
188,178,-55
188,190,-50
188,193,-48
189,180,-99
189,198,-104
190,188,-50
190,191,-85
190,210,-52
191,171,-113
191,190,-85
191,195,-104
192,186,-88
192,204,-92
193,188,-48
193,205,-52
194,187,-146
194,195,-118
194,200,-139
195,191,-104
195,194,-118
195,209,-90
196,184,-26
196,203,-44
197,185,-158
197,201,-158
198,189,-104
198,199,-137
198,206,-104
199,181,-170
199,198,-137
199,202,-182
200,194,-139
200,208,-133
201,197,-158
201,202,-176
201,216,-146
202,199,-182
202,201,-176
202,221,-194
203,196,-44
203,204,-77
203,215,-62
204,192,-92
204,203,-77
204,207,-70
205,193,-52
205,211,-49
206,198,-104
206,212,-106
207,204,-70
207,224,-48
208,200,-133
208,209,-112
208,223,-134
209,195,-90
209,208,-112
209,213,-89
210,190,-52
210,211,-47
210,214,-52
211,205,-49
211,210,-47
211,222,-42
212,206,-106
212,218,-108
213,209,-89
213,214,-70
213,230,-88
214,210,-52
214,213,-70
214,236,-52
215,203,-62
215,231,-78
216,201,-146
216,220,-159
217,219,-10
218,212,-108
218,228,-108
219,217,-10
219,225,-9
220,216,-159
220,221,-189
220,241,-184
221,202,-194
221,220,-189
221,227,-175
222,211,-42
222,226,-43
223,208,-134
223,229,-142
224,207,-48
224,232,-48
225,219,-9
225,233,-12
226,222,-43
226,247,-44
227,221,-175
227,228,-132
227,242,-169
228,218,-108
228,227,-132
228,235,-105
229,223,-142
229,230,-119
229,244,-150
230,213,-88
230,229,-119
230,238,-96
231,215,-78
231,232,-71
231,237,-94
232,224,-48
232,231,-71
232,248,-30
233,225,-12
233,234,-16
234,233,-16
234,245,-16
235,228,-105
235,255,-102
236,214,-52
236,238,-78
236,246,-56
237,231,-94
237,239,-71
